character,event_summary,paragraph_num,book_num,book_title
Aunt Petunia,"“There’s more in the frying pan, sweetums,” said Aunt Petunia, turning misty eyes on her massive son.",6,2,Harry Potter And The Chamber Of Secrets
Dudley,"“Dudley gets enough, don’t you, son?”",7,2,Harry Potter And The Chamber Of Secrets
Harry,"“You’ve forgotten the magic word,” said Harry irritably.",9,2,Harry Potter And The Chamber Of Secrets
Uncle Vernon,"“HOW DARE YOU THREATEN DUDLEY!” roared Uncle Vernon, pounding the table with his fist.",13,2,Harry Potter And The Chamber Of Secrets
Harry,"Ever since Harry had come home for the summer holidays, Uncle Vernon had been treating him like a bomb that might go off at any moment, because Harry Potter wasn’t a normal boy.",17,2,Harry Potter And The Chamber Of Secrets
Uncle Vernon,"Ever since Harry had come home for the summer holidays, Uncle Vernon had been treating him like a bomb that might go off at any moment, because Harry Potter wasn’t a normal boy.",17,2,Harry Potter And The Chamber Of Secrets
Harry Potter,"Ever since Harry had come home for the summer holidays, Uncle Vernon had been treating him like a bomb that might go off at any moment, because Harry Potter wasn’t a normal boy.",17,2,Harry Potter And The Chamber Of Secrets
Harry Potter,Harry Potter was a wizard — a wizard fresh from his first year at Hogwarts School of Witchcraft and Wizardry.,18,2,Harry Potter And The Chamber Of Secrets
Harry,"All Harry’s spellbooks, his wand, robes, cauldron, and top-of-the-line Nimbus Two Thousand broomstick had been locked in a cupboard under the stairs by Uncle Vernon the instant Harry had come home.",20,2,Harry Potter And The Chamber Of Secrets
Uncle Vernon,"All Harry’s spellbooks, his wand, robes, cauldron, and top-of-the-line Nimbus Two Thousand broomstick had been locked in a cupboard under the stairs by Uncle Vernon the instant Harry had come home.",20,2,Harry Potter And The Chamber Of Secrets
Harry,What was it to the Dursleys if Harry went back to school without any of his homework done?,20,2,Harry Potter And The Chamber Of Secrets
Dursleys,What was it to the Dursleys if Harry went back to school without any of his homework done?,20,2,Harry Potter And The Chamber Of Secrets
Dursleys,"The Dursleys were what wizards called Muggles (not a drop of magical blood in their veins), and as far as they were concerned, having a wizard in the family was a matter of deepest shame.",20,2,Harry Potter And The Chamber Of Secrets
Uncle Vernon,"Uncle Vernon had even padlocked Harry’s owl, Hedwig, inside her cage, to stop her from carrying messages to anyone in the wizarding world.",20,2,Harry Potter And The Chamber Of Secrets
Harry’S,"Uncle Vernon had even padlocked Harry’s owl, Hedwig, inside her cage, to stop her from carrying messages to anyone in the wizarding world.",20,2,Harry Potter And The Chamber Of Secrets
Harry,"It was this scar that made Harry so particularly unusual, even for a wizard.",22,2,Harry Potter And The Chamber Of Secrets
Harry’S,"This scar was the only hint of Harry’s very mysterious past, of the reason he had been left on the Dursleys’ doorstep eleven years before.",22,2,Harry Potter And The Chamber Of Secrets
Dursleys,"This scar was the only hint of Harry’s very mysterious past, of the reason he had been left on the Dursleys’ doorstep eleven years before.",22,2,Harry Potter And The Chamber Of Secrets
Harry,"At the age of one year old, Harry had somehow survived a curse from the greatest Dark sorcerer of all time, Lord Voldemort, whose name most witches and wizards still feared to speak.",23,2,Harry Potter And The Chamber Of Secrets
Dursleys,"He had spent ten years with the Dursleys, never understanding why he kept making odd things happen without meaning to, believing the Dursleys’ story that he had got his scar in the car crash that had killed his parents.",24,2,Harry Potter And The Chamber Of Secrets
Uncle Vernon,"At that moment, Uncle Vernon cleared his throat importantly and said, “Now, as we all know, today is a very important day.”",27,2,Harry Potter And The Chamber Of Secrets
Uncle Vernon,"“This could well be the day I make the biggest deal of my career,” said Uncle Vernon.",28,2,Harry Potter And The Chamber Of Secrets
Uncle Vernon,"“I think we should run through the schedule one more time,” said Uncle Vernon.",30,2,Harry Potter And The Chamber Of Secrets
Aunt Petunia,"“In the lounge,” said Aunt Petunia promptly, “waiting to welcome them graciously to our home.”",31,2,Harry Potter And The Chamber Of Secrets
Uncle Vernon,"“Exactly,” said Uncle Vernon nastily.",36,2,Harry Potter And The Chamber Of Secrets
