character,event_summary,book,paragraph_num
Aunt Petunia,"“There’s more in the frying pan, sweetums,” said Aunt Petunia, turning misty eyes on her massive son.",02 Harry Potter And The Chamber Of Secrets,6
Dudley,"“Dudley gets enough, don’t you, son?”",02 Harry Potter And The Chamber Of Secrets,7
Harry,"“You’ve forgotten the magic word,” said Harry irritably.",02 Harry Potter And The Chamber Of Secrets,9
Uncle Vernon,"“HOW DARE YOU THREATEN DUDLEY!” roared Uncle Vernon, pounding the table with his fist.",02 Harry Potter And The Chamber Of Secrets,13
Harry,"Ever since Harry had come home for the summer holidays, Uncle Vernon had been treating him like a bomb that might go off at any moment, because Harry Potter wasn’t a normal boy.",02 Harry Potter And The Chamber Of Secrets,17
Uncle Vernon,"Ever since Harry had come home for the summer holidays, Uncle Vernon had been treating him like a bomb that might go off at any moment, because Harry Potter wasn’t a normal boy.",02 Harry Potter And The Chamber Of Secrets,17
Harry Potter,"Ever since Harry had come home for the summer holidays, Uncle Vernon had been treating him like a bomb that might go off at any moment, because Harry Potter wasn’t a normal boy.",02 Harry Potter And The Chamber Of Secrets,17
Harry Potter,Harry Potter was a wizard — a wizard fresh from his first year at Hogwarts School of Witchcraft and Wizardry.,02 Harry Potter And The Chamber Of Secrets,18
Harry,"All Harry’s spellbooks, his wand, robes, cauldron, and top-of-the-line Nimbus Two Thousand broomstick had been locked in a cupboard under the stairs by Uncle Vernon the instant Harry had come home.",02 Harry Potter And The Chamber Of Secrets,20
Uncle Vernon,"All Harry’s spellbooks, his wand, robes, cauldron, and top-of-the-line Nimbus Two Thousand broomstick had been locked in a cupboard under the stairs by Uncle Vernon the instant Harry had come home.",02 Harry Potter And The Chamber Of Secrets,20
Harry,What was it to the Dursleys if Harry went back to school without any of his homework done?,02 Harry Potter And The Chamber Of Secrets,20
Dursleys,What was it to the Dursleys if Harry went back to school without any of his homework done?,02 Harry Potter And The Chamber Of Secrets,20
Dursleys,"The Dursleys were what wizards called Muggles (not a drop of magical blood in their veins), and as far as they were concerned, having a wizard in the family was a matter of deepest shame.",02 Harry Potter And The Chamber Of Secrets,20
Uncle Vernon,"Uncle Vernon had even padlocked Harry’s owl, Hedwig, inside her cage, to stop her from carrying messages to anyone in the wizarding world.",02 Harry Potter And The Chamber Of Secrets,20
Harry’s,"Uncle Vernon had even padlocked Harry’s owl, Hedwig, inside her cage, to stop her from carrying messages to anyone in the wizarding world.",02 Harry Potter And The Chamber Of Secrets,20
Harry,"It was this scar that made Harry so particularly unusual, even for a wizard.",02 Harry Potter And The Chamber Of Secrets,22
Harry’s,"This scar was the only hint of Harry’s very mysterious past, of the reason he had been left on the Dursleys’ doorstep eleven years before.",02 Harry Potter And The Chamber Of Secrets,22
Dursleys,"This scar was the only hint of Harry’s very mysterious past, of the reason he had been left on the Dursleys’ doorstep eleven years before.",02 Harry Potter And The Chamber Of Secrets,22
Harry,"At the age of one year old, Harry had somehow survived a curse from the greatest Dark sorcerer of all time, Lord Voldemort, whose name most witches and wizards still feared to speak.",02 Harry Potter And The Chamber Of Secrets,23
Dursleys,"He had spent ten years with the Dursleys, never understanding why he kept making odd things happen without meaning to, believing the Dursleys’ story that he had got his scar in the car crash that had killed his parents.",02 Harry Potter And The Chamber Of Secrets,24
Uncle Vernon,"At that moment, Uncle Vernon cleared his throat importantly and said, “Now, as we all know, today is a very important day.”",02 Harry Potter And The Chamber Of Secrets,27
Uncle Vernon,"“This could well be the day I make the biggest deal of my career,” said Uncle Vernon.",02 Harry Potter And The Chamber Of Secrets,28
Uncle Vernon,"“I think we should run through the schedule one more time,” said Uncle Vernon.",02 Harry Potter And The Chamber Of Secrets,30
Aunt Petunia,"“In the lounge,” said Aunt Petunia promptly, “waiting to welcome them graciously to our home.”",02 Harry Potter And The Chamber Of Secrets,31
Uncle Vernon,"“Exactly,” said Uncle Vernon nastily.",02 Harry Potter And The Chamber Of Secrets,36
Harry,"Aunt Petunia burst into tears and hugged her son, while Harry ducked under the table so they wouldn’t see him laughing.",02 Harry Potter And The Chamber Of Secrets,43
Mason,"When dinner’s over, you take Mrs. Mason back to the lounge for coffee, Petunia, and I’ll bring the subject around to drills.",02 Harry Potter And The Chamber Of Secrets,46
Dursleys,He didn’t think the Dursleys would like him any better in Majorca than they did on Privet Drive.,02 Harry Potter And The Chamber Of Secrets,47
Harry,"And you,” he snarled at Harry.",02 Harry Potter And The Chamber Of Secrets,48
Harry,"Countless times, Harry had been on the point of unlocking Hedwig’s cage by magic and sending her to Ron and Hermione with a letter, but it wasn’t worth the risk.",02 Harry Potter And The Chamber Of Secrets,51
Ron,"Countless times, Harry had been on the point of unlocking Hedwig’s cage by magic and sending her to Ron and Hermione with a letter, but it wasn’t worth the risk.",02 Harry Potter And The Chamber Of Secrets,51
Hogwarts,What wouldn’t he give now for a message from Hogwarts?,02 Harry Potter And The Chamber Of Secrets,52
Hogwarts,Not that his whole year at Hogwarts had been fun.,02 Harry Potter And The Chamber Of Secrets,53
Harry,"At the very end of last term, Harry had come face-to-face with none other than Lord Voldemort himself.",02 Harry Potter And The Chamber Of Secrets,53
Voldemort,"At the very end of last term, Harry had come face-to-face with none other than Lord Voldemort himself.",02 Harry Potter And The Chamber Of Secrets,53
Harry,Harry jumped to his feet just as a jeering voice floated across the lawn.,02 Harry Potter And The Chamber Of Secrets,55
Dudley,"“Today’s your birthday,” sneered Dudley.",02 Harry Potter And The Chamber Of Secrets,60
Harry,"“Better not let your mum hear you talking about my school,” said Harry coolly.",02 Harry Potter And The Chamber Of Secrets,61
Harry,"“I’m trying to decide what would be the best spell to set it on fire,” said Harry.",02 Harry Potter And The Chamber Of Secrets,64
Dudley,"“MUUUUUUM!” howled Dudley, tripping over his feet as he dashed back toward the house.",02 Harry Potter And The Chamber Of Secrets,68
Harry,Harry paid dearly for his moment of fun.,02 Harry Potter And The Chamber Of Secrets,69
Harry,"Harry, trying to say “Shh!” and look comforting at the same time, ushered Dobby back onto the bed where he sat hiccoughing, looking like a large and very ugly doll.",02 Harry Potter And The Chamber Of Secrets,93
Dobby,"“The wizard family Dobby serves, sir.…Dobby is a house-elf — bound to serve one house and one family forever.…”",02 Harry Potter And The Chamber Of Secrets,98
sir.,"“The wizard family Dobby serves, sir.…Dobby is a house-elf — bound to serve one house and one family forever.…”",02 Harry Potter And The Chamber Of Secrets,98
Dobby,"Dobby is always having to punish himself for something, sir.",02 Harry Potter And The Chamber Of Secrets,101
Dursleys,“This makes the Dursleys sound almost human.,02 Harry Potter And The Chamber Of Secrets,103
Harry,"“Please,” Harry whispered frantically, “please be quiet.",02 Harry Potter And The Chamber Of Secrets,105
Dursleys,"If the Dursleys hear anything, if they know you’re here —”",02 Harry Potter And The Chamber Of Secrets,105
Harry,"Harry, who was feeling distinctly hot in the face, said, “Whatever you’ve heard about my greatness is a load of rubbish.",02 Harry Potter And The Chamber Of Secrets,107
Hermione,"But he stopped quickly, because thinking about Hermione was painful.",02 Harry Potter And The Chamber Of Secrets,108
Ron,"Thinking about Ron was painful, too.",02 Harry Potter And The Chamber Of Secrets,112
Harry Potter,"“Dobby heard tell,” he said hoarsely, “that Harry Potter met the Dark Lord for a second time just weeks ago…that Harry Potter escaped yet again.”",02 Harry Potter And The Chamber Of Secrets,114
Harry,Harry nodded and Dobby’s eyes suddenly shone with tears.,02 Harry Potter And The Chamber Of Secrets,115
Harry Potter,“Harry Potter is valiant and bold!,02 Harry Potter And The Chamber Of Secrets,116
Uncle Vernon’s,There was a silence broken only by the chink of knives and forks from downstairs and the distant rumble of Uncle Vernon’s voice.,02 Harry Potter And The Chamber Of Secrets,117
Harry Potter,“Harry Potter must stay where he is safe.,02 Harry Potter And The Chamber Of Secrets,119
Harry Potter,"If Harry Potter goes back to Hogwarts, he will be in mortal danger.”",02 Harry Potter And The Chamber Of Secrets,119
Hogwarts,"If Harry Potter goes back to Hogwarts, he will be in mortal danger.”",02 Harry Potter And The Chamber Of Secrets,119
Harry Potter,"“There is a plot, Harry Potter.",02 Harry Potter And The Chamber Of Secrets,120
Harry Potter,Harry Potter must not put himself in peril.,02 Harry Potter And The Chamber Of Secrets,120
Harry,"“Well then, I can’t think who else would have a chance of making horrible things happen at Hogwarts,” said Harry.",02 Harry Potter And The Chamber Of Secrets,125
Hogwarts,"“Well then, I can’t think who else would have a chance of making horrible things happen at Hogwarts,” said Harry.",02 Harry Potter And The Chamber Of Secrets,125
Dumbledore,"“I mean, there’s Dumbledore, for one thing — you know who Dumbledore is, don’t you?”",02 Harry Potter And The Chamber Of Secrets,125
’s Dumbledore,"“I mean, there’s Dumbledore, for one thing — you know who Dumbledore is, don’t you?”",02 Harry Potter And The Chamber Of Secrets,125
Hogwarts,“Albus Dumbledore is the greatest headmaster Hogwarts has ever had.,02 Harry Potter And The Chamber Of Secrets,126
Dumbledore,Dobby has heard Dumbledore’s powers rival those of He-Who-Must-Not-Be-Named at the height of his strength.,02 Harry Potter And The Chamber Of Secrets,126
Dobby,Dobby has heard Dumbledore’s powers rival those of He-Who-Must-Not-Be-Named at the height of his strength.,02 Harry Potter And The Chamber Of Secrets,126
Harry,"Two seconds later Harry, heart thudding madly, heard Uncle Vernon coming into the hall, calling, “Dudley must have left his television on again, the little tyke!”",02 Harry Potter And The Chamber Of Secrets,128
Uncle Vernon,"Two seconds later Harry, heart thudding madly, heard Uncle Vernon coming into the hall, calling, “Dudley must have left his television on again, the little tyke!”",02 Harry Potter And The Chamber Of Secrets,128
Dudley,"Two seconds later Harry, heart thudding madly, heard Uncle Vernon coming into the hall, calling, “Dudley must have left his television on again, the little tyke!”",02 Harry Potter And The Chamber Of Secrets,128
Hogwarts,“See why I’ve got to go back to Hogwarts?,02 Harry Potter And The Chamber Of Secrets,131
Harry Potter,“Harry Potter mustn’t be angry with Dobby.,02 Harry Potter And The Chamber Of Secrets,134
Dobby,Dobby did it for the best —”,02 Harry Potter And The Chamber Of Secrets,134
Dobby,"He made a grab for the letters, but Dobby jumped out of reach.",02 Harry Potter And The Chamber Of Secrets,137
Harry Potter,"“Harry Potter will have them, sir, if he gives Dobby his word that he will not return to Hogwarts.",02 Harry Potter And The Chamber Of Secrets,138
Dobby,"“Harry Potter will have them, sir, if he gives Dobby his word that he will not return to Hogwarts.",02 Harry Potter And The Chamber Of Secrets,138
Hogwarts,"“Harry Potter will have them, sir, if he gives Dobby his word that he will not return to Hogwarts.",02 Harry Potter And The Chamber Of Secrets,138
Harry,"Before Harry could move, Dobby had darted to the bedroom door, pulled it open, and sprinted down the stairs.",02 Harry Potter And The Chamber Of Secrets,141
Harry,Harry ran up the hall into the kitchen and felt his stomach disappear.,02 Harry Potter And The Chamber Of Secrets,143
Harry Potter,“Harry Potter must say he’s not going back to school —”,02 Harry Potter And The Chamber Of Secrets,145
Harry Potter,"“Then Dobby must do it, sir, for Harry Potter’s own good.”",02 Harry Potter And The Chamber Of Secrets,146
Uncle Vernon,"At first, it looked as though Uncle Vernon would manage to gloss the whole thing over.",02 Harry Potter And The Chamber Of Secrets,149
Harry,"Aunt Petunia dug some ice cream out of the freezer and Harry, still shaking, started scrubbing the kitchen clean.",02 Harry Potter And The Chamber Of Secrets,149
Uncle Vernon,Uncle Vernon might still have been able to make his deal — if it hadn’t been for the owl.,02 Harry Potter And The Chamber Of Secrets,150
Mason,Mrs. Mason screamed like a banshee and ran from the house shouting about lunatics.,02 Harry Potter And The Chamber Of Secrets,151
Harry,"He was bearing down on Harry like a great bulldog, all his teeth bared.",02 Harry Potter And The Chamber Of Secrets,159
Harry,"And laughing like a maniac, he dragged Harry back upstairs.",02 Harry Potter And The Chamber Of Secrets,160
Uncle Vernon,Uncle Vernon was as bad as his word.,02 Harry Potter And The Chamber Of Secrets,161
Harry,They let Harry out to use the bathroom morning and evening.,02 Harry Potter And The Chamber Of Secrets,161
Harry,"Three days later, the Dursleys were showing no sign of relenting, and Harry couldn’t see any way out of his situation.",02 Harry Potter And The Chamber Of Secrets,162
Dursleys,"Three days later, the Dursleys were showing no sign of relenting, and Harry couldn’t see any way out of his situation.",02 Harry Potter And The Chamber Of Secrets,162
Hogwarts,What was the good of magicking himself out of his room if Hogwarts would expel him for doing it?,02 Harry Potter And The Chamber Of Secrets,163
Dursleys,"Now that the Dursleys knew they weren’t going to wake up as fruit bats, he had lost his only weapon.",02 Harry Potter And The Chamber Of Secrets,163
Harry,"Dobby might have saved Harry from horrible happenings at Hogwarts, but the way things were going, he’d probably starve to death anyway.",02 Harry Potter And The Chamber Of Secrets,163
Hogwarts,"Dobby might have saved Harry from horrible happenings at Hogwarts, but the way things were going, he’d probably starve to death anyway.",02 Harry Potter And The Chamber Of Secrets,163
Harry,"“It’s no good turning your beak up at it — that’s all we’ve got,” said Harry grimly.",02 Harry Potter And The Chamber Of Secrets,165
Hogwarts,"Supposing he was still alive in another four weeks, hat would happen if he didn’t turn up at Hogwarts?",02 Harry Potter And The Chamber Of Secrets,167
Dursleys,Would they be able to make the Dursleys let him go?,02 Harry Potter And The Chamber Of Secrets,167
Ron,“What’s been going on?” said Ron.,02 Harry Potter And The Chamber Of Secrets,174
Dad,"I’ve asked you to stay about twelve times, and then Dad came home and said you’d got an official warning for using magic in front of Muggles —”",02 Harry Potter And The Chamber Of Secrets,174
Ron,"“He works for the Ministry,” said Ron.",02 Harry Potter And The Chamber Of Secrets,175
Harry,"Harry moved back into the shadows next to Hedwig, who seemed to have realized how important this was and kept still and silent.",02 Harry Potter And The Chamber Of Secrets,183
Fred,"The car revved louder and louder and suddenly, with a crunching noise, the bars were pulled clean out of the window as Fred drove straight up in the air.",02 Harry Potter And The Chamber Of Secrets,183
Fred,"“A lot of wizards think it’s a waste of time, knowing this sort of Muggle trick,” said Fred, “but we feel they’re skills worth learning, even if they are a bit slow.”",02 Harry Potter And The Chamber Of Secrets,189
Harry,"“Watch out for the bottom stair — it creaks,” Harry whispered back as the twins disappeared onto the dark landing.",02 Harry Potter And The Chamber Of Secrets,191
Uncle Vernon,Harry heard Uncle Vernon cough.,02 Harry Potter And The Chamber Of Secrets,192
Fred,"“Put your foot down, Fred!”",02 Harry Potter And The Chamber Of Secrets,202
Harry,"Harry told them all about Dobby, the warning he’d given Harry and the fiasco of the violet pudding.",02 Harry Potter And The Chamber Of Secrets,208
George,“Definitely dodgy” agreed George.,02 Harry Potter And The Chamber Of Secrets,209
Fred,"“Well,” said Fred, “put it this way — house-elves have got powerful magic of their own, but they can’t usually use it without their master’s permission.",02 Harry Potter And The Chamber Of Secrets,211
Dobby,I reckon old Dobby was sent to stop you coming back to Hogwarts.,02 Harry Potter And The Chamber Of Secrets,211
Hogwarts,I reckon old Dobby was sent to stop you coming back to Hogwarts.,02 Harry Potter And The Chamber Of Secrets,211
Harry,"Harry had heard these rumors about Malfoy’s family before, and they didn’t surprise him at all.",02 Harry Potter And The Chamber Of Secrets,216
Malfoy,"Harry had heard these rumors about Malfoy’s family before, and they didn’t surprise him at all.",02 Harry Potter And The Chamber Of Secrets,216
Malfoy,"Judging by the fact that Draco Malfoy usually had the best of everything, his family was rolling in wizard gold; he could just see Malfoy strutting around a large manor house.",02 Harry Potter And The Chamber Of Secrets,220
Harry,Sending the family servant to stop Harry from going back to Hogwarts also sounded exactly like the sort of thing Malfoy would do.,02 Harry Potter And The Chamber Of Secrets,220
Hogwarts,Sending the family servant to stop Harry from going back to Hogwarts also sounded exactly like the sort of thing Malfoy would do.,02 Harry Potter And The Chamber Of Secrets,220
Malfoy,Sending the family servant to stop Harry from going back to Hogwarts also sounded exactly like the sort of thing Malfoy would do.,02 Harry Potter And The Chamber Of Secrets,220
Harry,Had Harry been stupid to take Dobby seriously?,02 Harry Potter And The Chamber Of Secrets,220
Dobby,Had Harry been stupid to take Dobby seriously?,02 Harry Potter And The Chamber Of Secrets,220
