character,event_summary,book,paragraph_num,event_type,chapter_estimate
Aunt Petunia,"“There’s more in the frying pan, sweetums,” said Aunt Petunia, turning misty eyes on her massive son.",Harry Potter And The Chamber Of Secrets,6,unknown,1
Dudley,"“Dudley gets enough, don’t you, son?”",Harry Potter And The Chamber Of Secrets,7,unknown,1
Harry,"“You’ve forgotten the magic word,” said Harry irritably.",Harry Potter And The Chamber Of Secrets,9,unknown,1
Uncle Vernon,"“HOW DARE YOU THREATEN DUDLEY!” roared Uncle Vernon, pounding the table with his fist.",Harry Potter And The Chamber Of Secrets,13,unknown,1
Harry,"Ever since Harry had come home for the summer holidays, Uncle Vernon had been treating him like a bomb that might go off at any moment, because Harry Potter wasn’t a normal boy.",Harry Potter And The Chamber Of Secrets,17,unknown,1
Uncle Vernon,"Ever since Harry had come home for the summer holidays, Uncle Vernon had been treating him like a bomb that might go off at any moment, because Harry Potter wasn’t a normal boy.",Harry Potter And The Chamber Of Secrets,17,unknown,1
Harry Potter,"Ever since Harry had come home for the summer holidays, Uncle Vernon had been treating him like a bomb that might go off at any moment, because Harry Potter wasn’t a normal boy.",Harry Potter And The Chamber Of Secrets,17,unknown,1
Harry Potter,Harry Potter was a wizard — a wizard fresh from his first year at Hogwarts School of Witchcraft and Wizardry.,Harry Potter And The Chamber Of Secrets,18,unknown,1
Harry,"All Harry’s spellbooks, his wand, robes, cauldron, and top-of-the-line Nimbus Two Thousand broomstick had been locked in a cupboard under the stairs by Uncle Vernon the instant Harry had come home.",Harry Potter And The Chamber Of Secrets,20,unknown,1
Uncle Vernon,"All Harry’s spellbooks, his wand, robes, cauldron, and top-of-the-line Nimbus Two Thousand broomstick had been locked in a cupboard under the stairs by Uncle Vernon the instant Harry had come home.",Harry Potter And The Chamber Of Secrets,20,unknown,1
Harry,What was it to the Dursleys if Harry went back to school without any of his homework done?,Harry Potter And The Chamber Of Secrets,20,unknown,1
Dursleys,What was it to the Dursleys if Harry went back to school without any of his homework done?,Harry Potter And The Chamber Of Secrets,20,unknown,1
Dursleys,"The Dursleys were what wizards called Muggles (not a drop of magical blood in their veins), and as far as they were concerned, having a wizard in the family was a matter of deepest shame.",Harry Potter And The Chamber Of Secrets,20,unknown,1
Uncle Vernon,"Uncle Vernon had even padlocked Harry’s owl, Hedwig, inside her cage, to stop her from carrying messages to anyone in the wizarding world.",Harry Potter And The Chamber Of Secrets,20,unknown,1
Harry’S,"Uncle Vernon had even padlocked Harry’s owl, Hedwig, inside her cage, to stop her from carrying messages to anyone in the wizarding world.",Harry Potter And The Chamber Of Secrets,20,unknown,1
Harry,"It was this scar that made Harry so particularly unusual, even for a wizard.",Harry Potter And The Chamber Of Secrets,22,unknown,1
Harry’S,"This scar was the only hint of Harry’s very mysterious past, of the reason he had been left on the Dursleys’ doorstep eleven years before.",Harry Potter And The Chamber Of Secrets,22,unknown,1
Dursleys,"This scar was the only hint of Harry’s very mysterious past, of the reason he had been left on the Dursleys’ doorstep eleven years before.",Harry Potter And The Chamber Of Secrets,22,unknown,1
Harry,"At the age of one year old, Harry had somehow survived a curse from the greatest Dark sorcerer of all time, Lord Voldemort, whose name most witches and wizards still feared to speak.",Harry Potter And The Chamber Of Secrets,23,unknown,1
