character,event_summary,book,paragraph_num,event_type,chapter_estimate,entities_mentioned
Aunt Petunia,"“There’s more in the frying pan, sweetums,” said Aunt Petunia, turning misty eyes on her massive son.",Harry Potter And The Chamber Of Secrets,6,dialogue,1,Aunt Petunia
Dudley,"“Dudley gets enough, don’t you, son?”",Harry Potter And The Chamber Of Secrets,7,other,1,Dudley
Harry,"“You’ve forgotten the magic word,” said Harry irritably.",Harry Potter And The Chamber Of Secrets,9,dialogue,1,Harry
Uncle Vernon,"“HOW DARE YOU THREATEN DUDLEY!” roared Uncle Vernon, pounding the table with his fist.",Harry Potter And The Chamber Of Secrets,13,other,1,Uncle Vernon
Harry,"Ever since Harry had come home for the summer holidays, Uncle Vernon had been treating him like a bomb that might go off at any moment, because Harry Potter wasn’t a normal boy.",Harry Potter And The Chamber Of Secrets,17,other,1,"Harry, Uncle Vernon, Harry Potter"
Uncle Vernon,"Ever since Harry had come home for the summer holidays, Uncle Vernon had been treating him like a bomb that might go off at any moment, because Harry Potter wasn’t a normal boy.",Harry Potter And The Chamber Of Secrets,17,other,1,"Harry, Uncle Vernon, Harry Potter"
Harry Potter,"Ever since Harry had come home for the summer holidays, Uncle Vernon had been treating him like a bomb that might go off at any moment, because Harry Potter wasn’t a normal boy.",Harry Potter And The Chamber Of Secrets,17,other,1,"Harry, Uncle Vernon, Harry Potter"
Harry Potter,Harry Potter was a wizard — a wizard fresh from his first year at Hogwarts School of Witchcraft and Wizardry.,Harry Potter And The Chamber Of Secrets,18,other,1,"Harry Potter, Hogwarts School of Witchcraft, Wizardry"
Harry,"All Harry’s spellbooks, his wand, robes, cauldron, and top-of-the-line Nimbus Two Thousand broomstick had been locked in a cupboard under the stairs by Uncle Vernon the instant Harry had come home.",Harry Potter And The Chamber Of Secrets,20,magic,1,"Nimbus, Uncle Vernon, Harry"
Uncle Vernon,"All Harry’s spellbooks, his wand, robes, cauldron, and top-of-the-line Nimbus Two Thousand broomstick had been locked in a cupboard under the stairs by Uncle Vernon the instant Harry had come home.",Harry Potter And The Chamber Of Secrets,20,magic,1,"Nimbus, Uncle Vernon, Harry"
Harry,What was it to the Dursleys if Harry went back to school without any of his homework done?,Harry Potter And The Chamber Of Secrets,20,movement,1,"Dursleys, Harry"
Dursleys,What was it to the Dursleys if Harry went back to school without any of his homework done?,Harry Potter And The Chamber Of Secrets,20,movement,1,"Dursleys, Harry"
Dursleys,"The Dursleys were what wizards called Muggles (not a drop of magical blood in their veins), and as far as they were concerned, having a wizard in the family was a matter of deepest shame.",Harry Potter And The Chamber Of Secrets,20,magic,1,Dursleys
Uncle Vernon,"Uncle Vernon had even padlocked Harry’s owl, Hedwig, inside her cage, to stop her from carrying messages to anyone in the wizarding world.",Harry Potter And The Chamber Of Secrets,20,other,1,"Uncle Vernon, Harry’s"
Harry’S,"Uncle Vernon had even padlocked Harry’s owl, Hedwig, inside her cage, to stop her from carrying messages to anyone in the wizarding world.",Harry Potter And The Chamber Of Secrets,20,other,1,"Uncle Vernon, Harry’s"
Harry,"It was this scar that made Harry so particularly unusual, even for a wizard.",Harry Potter And The Chamber Of Secrets,22,other,1,Harry
Harry’S,"This scar was the only hint of Harry’s very mysterious past, of the reason he had been left on the Dursleys’ doorstep eleven years before.",Harry Potter And The Chamber Of Secrets,22,movement,1,"Harry’s, Dursleys"
Dursleys,"This scar was the only hint of Harry’s very mysterious past, of the reason he had been left on the Dursleys’ doorstep eleven years before.",Harry Potter And The Chamber Of Secrets,22,movement,1,"Harry’s, Dursleys"
Harry,"At the age of one year old, Harry had somehow survived a curse from the greatest Dark sorcerer of all time, Lord Voldemort, whose name most witches and wizards still feared to speak.",Harry Potter And The Chamber Of Secrets,23,emotional,1,Harry
Dursleys,"He had spent ten years with the Dursleys, never understanding why he kept making odd things happen without meaning to, believing the Dursleys’ story that he had got his scar in the car crash that had killed his parents.",Harry Potter And The Chamber Of Secrets,24,battle,1,"Dursleys, Dursleys"
Uncle Vernon,"At that moment, Uncle Vernon cleared his throat importantly and said, “Now, as we all know, today is a very important day.”",Harry Potter And The Chamber Of Secrets,27,dialogue,1,Uncle Vernon
Uncle Vernon,"“This could well be the day I make the biggest deal of my career,” said Uncle Vernon.",Harry Potter And The Chamber Of Secrets,28,dialogue,1,Uncle Vernon
Uncle Vernon,"“I think we should run through the schedule one more time,” said Uncle Vernon.",Harry Potter And The Chamber Of Secrets,30,dialogue,1,Uncle Vernon
Aunt Petunia,"“In the lounge,” said Aunt Petunia promptly, “waiting to welcome them graciously to our home.”",Harry Potter And The Chamber Of Secrets,31,dialogue,1,Aunt Petunia
Uncle Vernon,"“Exactly,” said Uncle Vernon nastily.",Harry Potter And The Chamber Of Secrets,36,dialogue,1,Uncle Vernon
Harry,"Aunt Petunia burst into tears and hugged her son, while Harry ducked under the table so they wouldn’t see him laughing.",Harry Potter And The Chamber Of Secrets,43,romantic,1,"Aunt Petunia, Harry"
